item_key,merchant,web_categories,l1,l2,l3,gender,primary_fop,sub_sport,gmv,apparel_rn,gender_rn,fop_rn
dicks_sporting_goods_shoes_women's shoes_women's athletic & sneakers_athletic shoes_women's_nike_nike women's air max 270 shoes,dicks_sporting_goods,shoes > women's shoes > women's athletic & sneakers > athletic shoes > women's,Footwear,null,null,Women's,training,cross_training,283357753,1,1,1
foot_locker_shoes_boots_outdoor boots_ugg_ugg ultra mini platform - girls' grade school,foot_locker,shoes > boots > outdoor boots,Apparel,Bottoms,Baselayer Bottoms,Kids,sportswear,null,1167692,1,224,42
foot_locker_clothing_pants_pants_nike_nike tech fleece joggers - men's,foot_locker,clothing > pants > pants,Apparel,Bottoms,Fleece Bottoms,Men's,training,null,51381077,1,13,1
foot_locker_shoes_casual sneakers_casual sneakers_nike_nike dunk low - women's,foot_locker,shoes > casual sneakers > casual sneakers,Apparel,Bottoms,Other Bottoms,Women's,sportswear,null,69359340,1,3,1
foot_locker_clothing_pants_pants_nike_nike club joggers - men's,foot_locker,clothing > pants > pants,Apparel,Bottoms,Pants,Men's,soccer,null,35048317,1,28,1
foot_locker_clothing_shorts_shorts_nike_nike gx club shorts - men's,foot_locker,clothing > shorts > shorts,Apparel,Bottoms,Shorts,Men's,basketball,null,6290556,1,168,16
foot_locker_shoes_casual sneakers_casual sneakers_on running_on cloudswift 3 - men's,foot_locker,shoes > casual sneakers > casual sneakers,Apparel,Bottoms,Skirts,Men's,training,null,8543493,1,119,10
foot_locker_clothing_tights_tights_nike_nike pro 365 tights - women's,foot_locker,clothing > tights > tights,Apparel,Bottoms,Tights,Women's,basketball,null,411957,1,313,349
foot_locker_shoes_performance basketball shoes_performance basketball shoes_new balance_new balance 550 - women's,foot_locker,shoes > performance basketball shoes > performance basketball shoes,Apparel,Bras,null,Men's,running,null,7073872,1,145,3
foot_locker_shoes_casual sneakers_casual sneakers_nike_nike air vapormax flyknit 2021 - women's,foot_locker,shoes > casual sneakers > casual sneakers,Apparel,Dresses,null,Women's,training,null,17824012,1,18,7
foot_locker_clothing_jackets_jackets_nike_nike woven windrunner lined hooded jacket - men's,foot_locker,clothing > jackets > jackets,Apparel,Jackets & Outerwear,null,Men's,soccer,null,10923674,1,89,4
foot_locker_shoes_performance basketball shoes_jordan_jordan retro 3 - men's,foot_locker,shoes > performance basketball shoes,Apparel,Tops,null,Men's,sportswear,null,52265980,1,12,2
foot_locker_clothing_jackets_nike_nk bk wt swoosh trk jkt,foot_locker,clothing > jackets,Apparel,Track Suits,null,Men's,basketball,null,475051,1,1488,304
foot_locker_accessories_socks_socks_nike_nike 6 pack dri-fit plus no show socks - men's,foot_locker,accessories > socks > socks,Apparel,Underwear,null,Men's,soccer,null,16327680,1,65,2
foot_locker_shoes_casual sneakers_casual sneakers_nike_nike air force 1 '07 - men's,foot_locker,shoes > casual sneakers > casual sneakers,Footwear,null,null,Men's,sportswear,sportswear_basketball,506254695,1,1,1
hoka_shoes_mens trail_hoka_stinson 7,hoka,shoes > mens trail,Apparel,Bottoms,Other Bottoms,Men's,null,null,8422237,1,7,4
hoka_shoes_performance running shoes_hoka_arahi 7,hoka,shoes > performance running shoes,Apparel,Bottoms,Pants,Women's,null,null,44079987,1,6,1
hoka_shoes_performance running shoes_hoka_bondi 8,hoka,shoes > performance running shoes,Apparel,Tops,null,Women's,running,null,299061535,1,1,1
hoka_shoes_performance running shoes_hoka_clifton 9,hoka,shoes > performance running shoes,Footwear,null,null,Women's,running,road_running,224268191,1,2,1
kids_foot_locker_clothing_shorts_shorts_nike_nike nsw tech fleece shorts - boys' grade school,kids_foot_locker,clothing > shorts > shorts,Apparel,Bottoms,Baselayer Bottoms,Men's,basketball,null,789921,1,183,34
kids_foot_locker_clothing_pants_pants_nike_nike nsw tech fleece pants - boys' grade school,kids_foot_locker,clothing > pants > pants,Apparel,Bottoms,Fleece Bottoms,Men's,soccer,null,4855831,1,30,1
kids_foot_locker_shoes_casual sneakers_casual sneakers_nike_nike huarache run - boys' grade school,kids_foot_locker,shoes > casual sneakers > casual sneakers,Apparel,Bottoms,Other Bottoms,Kids,training,null,25305695,1,3,1
