item_key,merchant,web_categories,l1,l2,l3,gender,primary_fop,sub_sport,gmv,apparel_rn,gender_rn,fop_rn
academy_sports_men's_men's shoes + boots_men's casual shoes_hey dude_heydude men's wally x suede shoes,academy_sports,men's > men's shoes + boots > men's casual shoes,Footwear,null,null,Men's,flip_flops,null,515784.0,282,671,2
dicks_sporting_goods_licensed collections_nfl men's apparel_men's apparel_nike_nike men's philadelphia eagles sideline legend velocity green t-shirt,dicks_sporting_goods,licensed collections > nfl men's apparel > men's apparel,Apparel,Tops,null,Men's,american_football,null,2373121.0,147,317,2
nike_unisex_nike_size 8 - jordan 12 retro fiba 2019,nike,unisex,Apparel,Track Suits,null,Unisex/Undefined,basketball,null,1469711.0,2,141,146
nike_girls_apparel_running_nike_nike sportswear tech fleece big kids girls full-zip hoodie,nike,girls > apparel > running,Apparel,Tops,null,Women's,softball,null,3826692.0,58,134,1
"amazon_clothing, shoes & jewelry_women_women's shoes_women's athletic shoes_women's golf shoes_footjoy_footjoy men's fj originals golf shoe",amazon_leia,"clothing, shoes & jewelry > women > women's shoes > women's athletic shoes > women's golf shoes",Footwear,null,null,Women's,golf,training_other,1584236.0,726,2831,1
academy_sports_sports_soccer_soccer apparel_soccer pants_adidas_adidas women's tiro 21 track pants,academy_sports,sports > soccer > soccer apparel > soccer pants,Apparel,Bottoms,Pants,Women's,soccer,null,2.4904584E7,1,2,1
"macys_men's clothing & accessories_t-shirts_mode of one_men's regular-fit t-shirt, created for macy's",macys,men's clothing & accessories > t-shirts,Apparel,Tops,null,Men's,pickleball,null,781306.0,399,649,1
dicks_sporting_goods_shoes_men's shoes_men's casual shoes_casual_men's casual_birkenstock_birkenstock men's boston soft footbed clogs,dicks_sporting_goods,shoes > men's shoes > men's casual shoes > casual > men's casual,Footwear,null,null,Men's,walking,null,8769718.0,38,78,1
target_college_ncaa_ncaa hoodie,target,college,Apparel,Tops,null,Women's,american_football,null,4516986.0,229,431,1
academy_sports_apparel_mens apparel_mens graphic tee shirts_magellan outdoors_magellan outdoors men's local state graphic texas long sleeve t-shirt,academy_sports,apparel > mens apparel > mens graphic tee shirts,Apparel,Tops,null,Men's,field_hockey,null,1605633.0,110,264,1
kohls_womens_shoes_athletic shoes & sneakers_nike_nike_nike revolution 5 women's running shoes,kohls,womens > shoes > athletic shoes & sneakers > nike,Apparel,Bottoms,Other Bottoms,Women's,running,null,1.0694983E7,8,61,2
academy_sports_womens_womens footwear_womens athletic sneakers_womens walking shoes_skechers_skechers women's arch fit comfy wave shoes,academy_sports,womens > womens footwear > womens athletic sneakers > womens walking shoes,Footwear,null,null,Women's,training,training_other,1970302.0,80,82,1
nike_unisex_footwear_lifestyle_nike_nike air max 2017 men's shoes,nike,unisex > footwear > lifestyle,Footwear,null,null,Men's,tennis,cross_training,4.1522975E7,15,19,2
nike_women_footwear_soccer_nike_nike phantom gx 2 elite fg low-top soccer cleats,nike,women > footwear > soccer,Footwear,null,null,Women's,soccer,outdoor_soccer,4015151.0,242,127,2
hoka_shoes_performance running shoes_hoka_arahi 6,hoka,shoes > performance running shoes,Footwear,null,null,Women's,running,trail_running,5.5802594E7,1,2,1
dicks_sporting_goods_shoes_women's shoes_women's cleats_cleats_women's softball cleats_mizuno_mizuno women's 9-spike advanced finch elite 5 tpu softball cleats,dicks_sporting_goods,shoes > women's shoes > women's cleats > cleats > women's softball cleats,Footwear,null,null,Women's,softball,cross_training,755109.0,267,559,1
nordstrom_men_shoes_magnanni_magnanni hiro monk strap shoe (men),nordstrom,men > shoes,Footwear,null,null,Men's,cricket,training_other,210660.0,1118,1050,1
kids_foot_locker_shoes_casual sneakers_casual sneakers_nike_nike air max 95  - boys' grade school,kids_foot_locker,shoes > casual sneakers > casual sneakers,Apparel,Bras,null,Men's,sportswear,null,2331499.0,1,38,6
academy_sports_men's_men's clothing_men's shirts + tops_bcg_bcg men's athletic cotton v-neck t-shirt,academy_sports,men's > men's clothing > men's shirts + tops,Apparel,Tops,null,Men's,sportswear,null,1.0262667E7,12,29,1
dicks_sporting_goods_shoes_kids' shoes_kids' cleats_cleats_kids' soccer cleats_adidas_adidas kids' x speedflow.4 messi indoor soccer shoes,dicks_sporting_goods,shoes > kids' shoes > kids' cleats > cleats > kids' soccer cleats,Footwear,null,null,Kids,soccer,indoor_soccer,1526251.0,157,124,2
nordstrom_shoes_booties_torgeis_yng wms sh:tackle bootie,nordstrom,shoes > booties,Footwear,null,null,Women's,wrestling,outdoor_soccer,264177.0,865,1496,1
